"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"swz",748118845,13258.1233389,13201.2358025,13144.5923573,13088.191956,13032.0335558,12976.1161182,12920.4386095,12865,12809.7992648,12754.8353831,12700.1073387,12645.6141197,12591.3547184,12537.3281317,12483.5333606,12429.9694103,12376.6352906,12323.5300152,12270.6526023,12218.0020741,12165.5774571
"swz",748118846,17050.575254,16977.4151848,16904.5690285,16832.0354382,16759.8130727,16687.9005967,16616.2966804,16545,16474.0092371,16403.3230791,16332.9402191,16262.8593556,16193.0791929,16123.5984407,16054.4158143,15985.5300345,15916.9398277,15848.6439255,15780.6410653,15712.9299895,15645.5094463
"swz",748118847,20640.0073247,20551.4458338,20463.2643398,20375.4612122,20288.0348274,20200.9835691,20114.3058275,20028,19942.0644908,19856.497711,19771.2980785,19686.4640178,19601.9939604,19517.8863445,19434.1396149,19350.7522231,19267.7226273,19185.0492922,19102.7306893,19020.7652965,18939.1515981
"swz",748118848,16259.1070282,16189.3429659,16119.8782449,16050.711581,15981.8416953,15913.2673142,15844.98717,15777,15709.3045472,15641.89956,15574.7837919,15507.956002,15441.4149548,15375.1594197,15309.1881718,15243.4999912,15178.0936634,15112.967979,15048.1217339,14983.5537289,14919.2627703
"swz",748118849,14271.1614456,14209.9271973,14148.9556909,14088.2457992,14027.7963996,13967.6063743,13907.6746105,13848,13788.5814394,13729.4178302,13670.5080782,13611.8510944,13553.4457941,13495.2910974,13437.3859291,13379.7292184,13322.3198993,13265.1569103,13208.2391944,13151.5656993,13095.135377
"swz",748118850,11712.2869605,11662.0322499,11611.9931707,11562.1687975,11512.5582092,11463.1604884,11413.9747219,11365,11316.2354173,11267.6800722,11219.3330668,11171.1935072,11123.2605033,11075.5331688,11028.0106213,10980.691982,10933.576376,10886.6629322,10839.9507831,10793.439065,10747.126918
"swz",748118851,8725.73107738,8688.29098636,8651.0115421,8613.8920553,8576.93183962,8540.13021167,8503.48649098,8467,8430.67006411,8394.49601155,8358.47717348,8322.6128839,8286.90247968,8251.34530053,8215.94068901,8180.68799047,8145.58655309,8110.63572785,8075.83486851,8041.1833316,8006.6804764
"swz",748118852,27484.9708083,27367.0391646,27249.6135382,27132.691758,27016.2716621,26900.3510978,26784.9279219,26670,26555.5652072,26441.6214277,26328.1665545,26215.1984899,26102.715145,25990.7144402,25879.1943045,25768.1526758,25657.587501,25547.4967358,25437.8783445,25328.7303004,25220.0505853
"swz",748118853,18825.1954164,18744.4208631,18663.9928947,18583.9100241,18504.1707706,18424.7736597,18345.7172234,18267,18188.620534,18110.5773761,18032.8690833,17955.4942188,17878.4513519,17801.7390581,17725.355919,17649.3005222,17573.5714616,17498.1673368,17423.0867536,17348.3283239,17273.8906652
"swz",748118854,8025.98247675,7991.5448449,7957.25497696,7923.11223889,7889.11599941,7855.26562991,7821.56050451,7788,7754.58349584,7721.31037416,7688.18001973,7655.19181999,7622.34516496,7589.63944733,7557.07406236,7524.64840791,7492.36188443,7460.21389495,7428.20384504,7396.33114285,7364.59519903
"swz",748118855,6430.67933422,6403.08677866,6375.61261636,6348.25633933,6321.01744174,6293.89541996,6266.88977249,6240,6213.22560529,6186.56609331,6160.02097113,6133.58974791,6107.27193495,6081.06704563,6054.97459542,6028.99410187,6003.1250846,5977.36706529,5951.71956768,5926.18211753,5900.75424268
"swz",748118856,28611.0411046,28745.8295004,28881.2528928,29017.3142732,29154.0166473,29291.3630347,29429.3564695,29568,29707.2966888,29847.2496129,29987.861864,30129.1365482,30271.0767862,30413.6857135,30556.9664803,30700.9222518,30845.5562078,30990.8715435,31136.8714687,31283.5592086,31430.9380036
"swz",748118857,17893.7463617,18080.8123816,18269.8340398,18460.8317811,18653.8262639,18848.8383628,19045.8891704,19245,19446.1923876,19649.4880942,19854.9091087,20062.4776496,20272.2161675,20484.1473482,20698.2941142,20914.6796279,21133.3272938,21354.2607609,21577.5039257,21803.0809344,22031.0161856
"swz",748118858,25319.9532825,25584.6548598,25852.1236982,26122.3887276,26395.47918,26671.4245932,26950.2548137,27232,27516.690626,27804.3574841,28095.0316887,28388.7446793,28685.5282242,28985.4144238,29288.4357141,29594.6248702,29904.0150098,30216.6395968,30532.5324451,30851.7277218,31174.2599515
"swz",748118859,13731.0909987,13874.6395039,14019.6887036,14166.2542865,14314.3521052,14463.9981783,14615.2086915,14768,14922.3886297,15078.3912796,15236.024823,15395.3063096,15556.2529676,15718.8822052,15883.2116123,16049.2589631,16217.0422174,16386.5795228,16557.8892167,16730.989828,16905.9000794
"swz",748118860,23741.9001807,23853.7497505,23966.1262506,24079.0321634,24192.469983,24306.4422152,24420.9513777,24536,24651.5906235,24767.7258017,24884.4080998,25001.6400956,25119.4243786,25237.7635507,25356.660226,25476.1170309,25596.1366043,25716.7215973,25837.8746738,25959.59851,26081.8957947
"swz",748118861,12056.5450284,12182.5873813,12309.9474146,12438.6389039,12568.6757685,12700.0720733,12832.8420303,12967,13102.5604931,13239.5381719,13377.9478521,13517.8045041,13659.1232551,13801.9193902,13946.2083543,14092.005754,14239.3273587,14388.189103,14538.6070878,14690.5975826,14844.1770267
"swz",748118862,11086.7774288,11202.6815712,11319.7974066,11438.1376024,11557.7149582,11678.5424078,11800.6330199,11924,12048.6566916,12174.6165776,12301.893282,12430.5005712,12560.4523555,12691.7626906,12824.4457791,12958.5159721,13093.9877709,13230.8758282,13369.1949499,13508.9600967,13650.1863859
"swz",748118863,14536.2863403,14688.2525733,14841.8075021,14996.9677353,15153.7500551,15312.1714193,15472.2489629,15634,15797.4420258,15962.5927184,16129.4699406,16298.0917419,16468.4763608,16640.6422261,16814.6079596,16990.3923774,17168.0144926,17347.4935171,17528.8488633,17712.100147,17897.2671887
