"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"moz",508655802,27329.8890849,27938.3016555,28560.2585861,29196.0613986,29846.0183271,30510.4444679,31189.6619317,31884,32593.7952846,33319.3918911,34061.1415854,34819.4039642,35594.5466297,36386.9453675,37196.9843289,38025.056217,38871.5624772,39736.9134919,40621.5287793,41525.8371967,42450.2771488
"moz",508655803,57241.978596,57982.7380115,58733.0834778,59493.1390463,60263.0303741,61042.8847442,61832.8310866,62633,63443.5237731,64264.5364065,65096.1736349,65938.5729495,66791.8736207,67656.2167213,68531.7451496,69418.6036532,70316.9388528,71226.8992665,72148.6353344,73082.2994434,74028.0459523
"moz",508655804,4735.90700929,4868.65049783,5005.11467466,5145.40382755,5289.62516735,5437.88890995,5590.3083605,5747,5908.08357431,6073.68218567,6243.92238677,6418.93427745,6598.85160418,6783.81186218,6973.95640059,7169.43053041,7370.38363562,7576.96928727,7789.34536092,8007.67415721,8232.12252595
"moz",508655805,40021.4681139,41057.1516186,42119.6367469,43209.6170765,44327.8041337,45474.9278577,46651.7370774,47859,49097.5047124,50368.0596958,51671.4943536,53008.6595524,54380.428178,55787.6957047,57231.38078,58712.4258247,60231.7976473,61790.4880758,63389.514605,65029.9210605,66712.7782802
"moz",508655806,56126.5000895,57682.813375,59282.2811603,60926.1000624,62615.499879,64351.7445082,66136.1328944,67970,69854.7178043,71791.6963295,73782.3846959,75828.2722063,77930.8894594,80091.8094956,82312.6489738,84595.0693804,86940.7782728,89351.5305565,91829.1297985,94375.4295761,96992.3348638
"moz",508655807,17982.27256,18217.3798061,18455.5609361,18696.8561392,18941.3061298,19188.9521549,19439.8360008,19694,19951.4870384,20212.3405629,20476.604588,20744.3237041,21015.5430844,21290.3084926,21568.666291,21850.6634478,22136.3475455,22425.7667885,22718.9700115,23016.0066879,23316.9269377
"moz",508655808,13179.9933516,13448.5768716,13722.6336194,14002.2751293,14287.6152081,14578.769982,14875.8579435,15179,15488.3195224,15803.942396,16125.9970712,16454.6146161,16789.9287695,17132.0759959,17481.1955403,17837.4294857,18200.92281,18571.8234459,18950.2823404,19336.4535166,19730.4941363
"moz",508655809,68600.4772354,72017.4074182,75604.5319254,79370.3279884,83323.6950822,87473.975957,91830.978717,96405,101206.84931,106247.874563,111539.988905,117095.698866,122928.133914,129051.077485,135478.999557,142227.090844,149311.298697,156748.364789,164555.864683,172752.249365,181356.888849
"moz",508655810,47313.8312417,50641.6174763,54203.461299,58015.8249915,62096.3286989,66463.8318674,71138.5204095,76142,81497.3959344,87229.4600101,93364.6849254,99931.4267246,106960.035855,114482.997442,122535.081431,131153.503286,140378.095998,150251.494183,160819.331134,172130.449729,184237.128181
"moz",508655811,45064.4427049,46481.594055,47943.3108724,49450.9946171,51006.0908211,52610.0904743,54264.5314541,55971,57731.1322341,59546.6157301,61419.1911313,63350.6538191,65342.855635,67397.7066556,69517.177024,71703.2988389,73958.1681029,76283.9467321,78682.8646286,81157.221819,83709.3906592
