"ISO","GID","P_2000","P_2001","P_2002","P_2003","P_2004","P_2005","P_2006","P_2007","P_2008","P_2009","P_2010","P_2011","P_2012","P_2013","P_2014","P_2015","P_2016","P_2017","P_2018","P_2019","P_2020"
"gmb",270186924,16760.5131652,17122.7884985,17492.8943448,17870.9999593,18257.2782553,18651.9058839,19055.0633143,19466.9349166,19887.709046,20317.5781289,20756.738751,21205.3917471,21663.7422932,22132,22610.3790089,23099.0980898,23598.3807417,24108.4552939,24629.5550114,25161.9182012,25705.7883209
"gmb",270186925,14625.3205996,14862.6742371,15103.8798755,15349.0000289,15598.0982257,15851.2390254,16108.4880351,16369.9119269,16635.5784547,16905.556472,17179.9159498,17458.7279946,17742.0648669,18030,18322.6080187,18619.9647592,18922.1472882,19229.2339231,19541.3042526,19858.4391567,20180.7208281
"gmb",270186926,306794.903309,312018.81483,317331.675846,322735.000932,328230.330455,333819.231008,339503.29586,345284.14541,351163.427646,357142.818619,363224.022918,369408.774155,375698.835465,382096,388602.091447,395218.964546,401948.505617,408792.6331,415753.2981,422832.484946,430032.211753
"gmb",270186927,7742.33580774,7788.61338764,7835.16757843,7882.00003348,7929.11241602,7976.50639924,8024.18366633,8072.14591054,8120.39483523,8168.93215396,8217.75959052,8266.878879,8316.29176386,8366,8416.00535279,8466.30959815,8516.91452263,8567.82192346,8619.0336086,8670.55139683,8722.37711777
"gmb",270186928,133832.387231,143937.120417,154804.790249,166493.000657,179063.704831,192583.533611,207124.148654,222762.622283,239581.846003,257670.96987,277125.875024,298049.681913,320553.296875,344756,370786.077369,398781.501034,428890.660339,461273.14845,496100.608284,533557.642292,573842.790946
"gmb",270186929,24562.4128392,25641.5067542,26768.0082136,27943.9999605,29171.6562382,30453.246811,31791.1411596,33187.812863,34645.8441707,36167.930778,37756.8868093,39415.6500209,41147.2872332,42955,44842.1305284,46812.1678577,48868.7543102,51015.6922253,53256.9509898,55596.6743762,58039.1882045
"gmb",270186930,20436.2132497,21020.2899301,21621.0597995,22238.9999571,22874.6011379,23528.3681023,24200.820037,24892.4909674,25603.9301814,26335.7026661,27088.389556,27862.5885946,28658.9146094,29478,30320.49524,31187.0693941,32078.4106491,32995.2268605,33938.2461147,34908.2173069,35905.9107366
"gmb",270186931,68717.3713036,69848.2027803,70997.6435227,72165.99977,73353.5828008,74560.7090162,75787.700024,77034.8827247,78302.5893982,79591.1577923,80900.9312133,82232.2586166,83585.4947005,84961,86359.1409833,87780.2901493,89224.8261268,90693.1337754,92185.6042882,93702.6352957,95244.6309719
"gmb",270186932,17893.0309593,18326.7556077,18770.993683,19226.000029,19692.0356673,20169.3679464,20658.2706953,21159.0243807,21671.9162676,22197.2405844,22735.2986916,23286.3992544,23850.8584203,24429,25021.1556533,25627.6650795,26248.8762121,26885.1454184,27536.8377042,28204.3269228,28887.9959897
"gmb",270186933,16899.6493076,17355.366843,17823.3733003,18304.0000638,18797.587454,19304.4849682,19825.0515285,20359.6557357,20908.6761304,21472.5014607,22051.530958,22646.1746193,23256.8534976,23884,24528.0581941,25189.4841221,25868.7461241,26566.3251692,27282.7151965,28018.4234648,28773.9709115
"gmb",270186934,11424.7340197,11755.1731873,12095.1696928,12444.9999644,12804.9484255,13175.3077259,13556.3789797,13948.4720103,14351.9056021,14767.0077596,15194.1159744,15633.5774994,16085.749631,16551,17029.70687,17522.2594452,18029.0581869,18550.5151389,19087.0542627,19639.1117821,20207.1365377
"gmb",270186935,3023.5130808,3088.59764739,3155.08323349,3222.99999764,3292.37874757,3363.25095421,3435.6487659,3509.60502305,3585.15327295,3662.32778508,3741.16356658,3821.69637817,3903.96275035,3988,4073.84624727,4161.5404329,4251.12233586,4342.63259143,4436.1127096,4531.60509389,4629.15306065
"gmb",270186936,12937.2140211,13142.8565926,13351.7679412,13564.0000253,13779.6056295,13998.6383774,14221.1527449,14447.2040737,14676.8485855,14910.1433954,15147.1465265,15387.9169241,15632.5144705,15881,16133.4353137,16389.883195,16650.4074255,16915.0728006,17183.9451454,17457.0913315,17734.5792936
"gmb",270186937,89918.8517286,92560.2179102,95279.1742208,98077.9998704,100959.041021,103924.712752,106977.501087,110119.965077,113354.738944,116684.534289,120112.14237,123640.436435,127272.374134,131011,134859.447997,138820.94415,142898.809249,147096.461631,151417.420047,155865.306613,160443.849842
"gmb",270186938,33635.125825,34468.5936126,35322.7144686,36198.0001694,37094.9751733,38014.1769342,38956.1562243,39921.4774635,40910.7190579,41924.4737463,42963.3489556,44027.9671642,45118.9662755,46237,47382.7382468,48556.8675253,49760.0913562,50993.1306934,52256.7243557,53551.6294695,54878.6219228
"gmb",270186939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gmb",270186940,8432.55319841,8647.50941574,8867.9451331,9094.0000297,9325.81734539,9563.54397135,9807.33054323,10057.3315365,10313.7053646,10576.6144788,10846.2254717,11122.7091825,11406.2408053,11697,11995.1710065,12300.9427609,12614.5090158,12936.0684626,13265.8248577,13603.9871513,13950.7696204
"gmb",270186941,8508.68561671,8490.08310657,8471.52126705,8453.0000092,8434.51924432,8416.07888388,8397.67883953,8379.31902313,8360.99934674,8342.71972259,8324.48006312,8306.28028096,8288.12028891,8270,8251.91932741,8233.87818454,8215.87648495,8197.91414241,8179.99107089,8162.10718451,8144.26239762
"gmb",270186942,19956.5738979,19106.7037997,18293.0262457,17513.9999413,16768.1492293,16054.0612949,15370.3834893,14715.8207676,14089.1332357,13489.1338016,12914.6859265,12364.7014726,11838.1386413,11334,10851.3305928,10389.2161315,9946.78126367,9523.18791479,9117.63370043,8729.3504065,8357.60253408
"gmb",270186943,14131.2511995,14465.2128468,14807.0669574,15157.0000527,15515.2030621,15881.8714271,16257.2052082,16641.4091937,17034.6930119,17437.271245,17849.3635465,18271.1947608,18702.9950461,19145,19597.4507878,20060.5942742,20534.6831581,21019.9761104,21516.737915,22025.2396136,22545.7586533
"gmb",270186944,6010.78159504,6169.62002155,6332.65584658,6499.99998883,6671.76629812,6848.07163281,7029.0359393,7214.78233364,7405.43718532,7601.1302032,7801.99452377,8008.16680174,8219.78730298,8437,8659.95266984,8888.79699466,9123.68866488,9364.78748516,9612.25748307,9866.26702071,10126.9889093
